=== CONFIRMED (147) ===
EOG | consolidation | 153.05 | 149.21 | 158.81 | Medium | 83.4 | Undervalued | CONFIRMED
DVN | consolidation | 49.1 | 47.7621 | 51.1069 | Medium | 79.9 | Undervalued | CONFIRMED
INCY | consolidation | 127.81 | 124.3093 | 133.0611 | Medium | 75.2 | Undervalued | CONFIRMED
COP | consolidation | 134.87 | 131.4189 | 140.0466 | Medium | 73.3 | Undervalued | CONFIRMED
OXY | consolidation | 61.3 | 59.7421 | 63.6368 | Medium | 73.3 | Undervalued | CONFIRMED
CF | breakout | 129.6 | 124.4887 | 137.267 | High | 70.3 | Undervalued | CONFIRMED
NVDA | pullback | 214.72 | 208.9693 | 223.346 | Medium | 70.3 | Undervalued | CONFIRMED
FSLR | pullback | 214.28 | 200.7964 | 234.5054 | Medium | 70.2 | Undervalued | CONFIRMED
NEM | breakout | 131.58 | 126.5379 | 139.1432 | High | 68.6 | Undervalued | CONFIRMED
CBOE | consolidation | 300.74 | 291.4271 | 314.7094 | Medium | 68.6 | Undervalued | CONFIRMED
VLO | consolidation | 348.86 | 337.7271 | 365.5593 | Medium | 68.3 | Undervalued | CONFIRMED
ALL | reversal | 253.83 | 246.98 | 264.105 | Medium | 67.6 | Undervalued | CONFIRMED
BESI.AS | pullback | 208.5 | 199.7571 | 221.6144 | Medium | 67.0 | Undervalued | CONFIRMED
GOOGL | pullback | 344.82 | 336.5279 | 357.2582 | Medium | 67.0 | Undervalued | CONFIRMED
PLTR | consolidation | 179.94 | 170.3269 | 194.3596 | Medium | 67.0 | Undervalued | CONFIRMED
CVX | consolidation | 205.27 | 201.0995 | 211.5258 | Medium | 66.7 | Undervalued | CONFIRMED
LYFT | consolidation | 17.47 | 16.7686 | 18.5221 | Medium | 65.3 | Undervalued | CONFIRMED
GL | pullback | 171.08 | 167.4343 | 176.5486 | Medium | 64.2 | Undervalued | CONFIRMED
AMAT | pullback | 492.32 | 465.2158 | 532.9763 | Medium | 63.7 | Undervalued | CONFIRMED
MSFT | pullback | 483.24 | 472.7253 | 499.0121 | Medium | 63.7 | Undervalued | CONFIRMED
TXN | pullback | 264.36 | 254.8593 | 278.6111 | Medium | 62.0 | Undervalued | CONFIRMED
EXPD | consolidation | 187.81 | 182.7736 | 195.3646 | Medium | 61.9 | Fair | CONFIRMED
ROP | consolidation | 411.79 | 401.88 | 426.655 | Medium | 60.9 | Fair | CONFIRMED
FRE.DE | pullback | 46.565 | 45.5732 | 48.0527 | Medium | 60.6 | Fair | CONFIRMED
MPC | consolidation | 360.72 | 348.3283 | 379.3076 | Medium | 59.8 | Fair | CONFIRMED
UBER | consolidation | 78.8 | 75.8169 | 83.2746 | Medium | 59.4 | Fair | CONFIRMED
ASM.AS | pullback | 818.6 | 788.2929 | 864.0607 | Medium | 58.7 | Fair | CONFIRMED
GEV | pullback | 956.85 | 915.0266 | 1019.5851 | Medium | 58.7 | Fair | CONFIRMED
RIO.L | consolidation | 7669.0 | 7497.2833 | 7926.575 | Medium | 58.7 | Fair | CONFIRMED
ADI | pullback | 373.09 | 360.7343 | 391.6235 | Medium | 58.6 | Fair | CONFIRMED
KEYS | pullback | 316.13 | 301.7882 | 337.6427 | Medium | 58.6 | Fair | CONFIRMED
AIR.PA | pullback | 203.05 | 199.825 | 207.8875 | Medium | 58.5 | Fair | CONFIRMED
PSX | consolidation | 242.87 | 235.3544 | 254.1434 | Medium | 58.4 | Fair | CONFIRMED
ADBE | consolidation | 275.3 | 264.7314 | 291.1529 | Medium | 57.8 | Fair | CONFIRMED
UHS | consolidation | 177.26 | 171.9886 | 185.1671 | Medium | 57.4 | Fair | CONFIRMED
ASML.AS | pullback | 1488.4 | 1438.4 | 1563.4 | Medium | 57.1 | Fair | CONFIRMED
DXCM | consolidation | 92.34 | 89.7657 | 96.2015 | Medium | 56.1 | Fair | CONFIRMED
SPGI | consolidation | 431.29 | 421.8943 | 445.3836 | Medium | 56.1 | Fair | CONFIRMED
A | breakout | 159.0 | 155.1936 | 164.7096 | High | 56.0 | Fair | CONFIRMED
GRMN | pullback | 294.85 | 287.6543 | 305.6436 | Medium | 56.0 | Fair | CONFIRMED
SAP.DE | consolidation | 186.06 | 180.7743 | 193.9885 | Medium | 56.0 | Fair | CONFIRMED
TRI | consolidation | 105.53 | 99.9032 | 113.9702 | Medium | 56.0 | Fair | CONFIRMED
ALLE | pullback | 162.31 | 158.465 | 168.0775 | Medium | 55.9 | Fair | CONFIRMED
GEHC | consolidation | 74.82 | 73.2257 | 77.2114 | Medium | 55.8 | Fair | CONFIRMED
ABNB | consolidation | 187.3 | 180.3262 | 197.7607 | Medium | 55.4 | Fair | CONFIRMED
AMZN | pullback | 258.63 | 252.2429 | 268.2106 | Medium | 55.3 | Fair | CONFIRMED
DSY.PA | consolidation | 22.27 | 21.7121 | 23.1069 | Medium | 55.2 | Fair | CONFIRMED
SHEL.L | consolidation | 3409.0 | 3357.3429 | 3486.4856 | Medium | 55.2 | Fair | CONFIRMED
MDT | consolidation | 93.35 | 91.31 | 96.41 | Medium | 54.2 | Fair | CONFIRMED
DHL.DE | consolidation | 56.0 | 55.0829 | 57.3756 | Medium | 53.9 | Fair | CONFIRMED
PRU | pullback | 121.15 | 118.4207 | 125.244 | Medium | 53.8 | Fair | CONFIRMED
AZM.MI | pullback | 38.1 | 37.5279 | 38.9582 | Medium | 53.7 | Fair | CONFIRMED
BRO | consolidation | 72.92 | 71.1227 | 75.616 | Medium | 53.5 | Fair | CONFIRMED
MCO | consolidation | 503.32 | 493.0523 | 518.7215 | Medium | 53.5 | Fair | CONFIRMED
RAND.AS | consolidation | 39.79 | 38.9071 | 41.1144 | Medium | 53.3 | Fair | CONFIRMED
SHL.DE | consolidation | 40.35 | 39.7186 | 41.2971 | Medium | 53.3 | Fair | CONFIRMED
ZBH | consolidation | 100.98 | 98.0329 | 105.4007 | Medium | 53.3 | Fair | CONFIRMED
DB1.DE | consolidation | 284.1 | 279.3929 | 291.1607 | Medium | 52.8 | Fair | CONFIRMED
CRM | consolidation | 209.17 | 201.395 | 220.8325 | Medium | 52.5 | Fair | CONFIRMED
RL | pullback | 372.59 | 359.6143 | 392.0535 | Medium | 52.5 | Fair | CONFIRMED
AOS | consolidation | 63.08 | 61.5179 | 65.4231 | Medium | 52.1 | Fair | CONFIRMED
EDV.L | consolidation | 4684.5 | 4503.2857 | 4956.3214 | Medium | 52.1 | Fair | CONFIRMED
HWM | pullback | 271.68 | 262.9212 | 284.8182 | Medium | 52.0 | Fair | CONFIRMED
STJ.L | consolidation | 1187.5 | 1159.308 | 1229.788 | Medium | 51.9 | Fair | CONFIRMED
PWR | pullback | 639.34 | 612.0686 | 680.2471 | Medium | 51.7 | Fair | CONFIRMED
NFLX | consolidation | 79.59 | 77.375 | 82.9125 | Medium | 51.2 | Fair | CONFIRMED
DHR | consolidation | 218.85 | 212.2314 | 228.7779 | Medium | 50.9 | Fair | CONFIRMED
PNR | pullback | 64.4 | 62.4514 | 67.3229 | Medium | 50.4 | Fair | CONFIRMED
REN.AS | consolidation | 30.68 | 29.8027 | 31.9959 | Medium | 50.1 | Fair | CONFIRMED
INTU | consolidation | 367.0 | 353.2664 | 387.6004 | Medium | 49.4 | Fair | CONFIRMED
ACN | consolidation | 185.28 | 177.3021 | 197.2468 | Medium | 49.3 | Fair | CONFIRMED
BEN | breakout | 34.31 | 33.5779 | 35.4082 | High | 48.8 | Fair | CONFIRMED
HII | pullback | 298.2 | 289.5293 | 311.2061 | Medium | 48.8 | Fair | CONFIRMED
KLAC | pullback | 183.99 | 174.079 | 198.8565 | Medium | 48.8 | Fair | CONFIRMED
HSX.L | consolidation | 1808.0 | 1776.2159 | 1855.6762 | Medium | 48.7 | Fair | CONFIRMED
ARM | pullback | 243.32 | 224.2489 | 271.9266 | Medium | 48.6 | Fair | CONFIRMED
NXT.L | consolidation | 15365.0 | 15057.5567 | 15826.165 | Medium | 48.6 | Fair | CONFIRMED
ENR.DE | pullback | 150.86 | 144.99 | 159.665 | Medium | 48.5 | Fair | CONFIRMED
LDO.MI | pullback | 56.01 | 54.7529 | 57.8957 | Medium | 48.4 | Fair | CONFIRMED
AMGN | consolidation | 439.33 | 427.3994 | 457.2259 | Medium | 47.5 | Fair | CONFIRMED
LMT | pullback | 563.57 | 548.3436 | 586.4096 | Medium | 47.4 | Fair | CONFIRMED
AUTO.L | consolidation | 545.0 | 532.3786 | 563.9321 | Medium | 47.2 | Fair | CONFIRMED
PTC | consolidation | 154.68 | 149.1393 | 162.9911 | Medium | 47.2 | Fair | CONFIRMED
EXE | neutral | 96.09 | 93.6748 | 99.7128 | Medium | 47.0 | Fair | CONFIRMED
PUB.PA | consolidation | 102.45 | 100.4936 | 105.3846 | Medium | 47.0 | Fair | CONFIRMED
REGN | consolidation | 834.04 | 813.9834 | 864.1249 | Medium | 47.0 | Fair | CONFIRMED
AMT | consolidation | 175.8 | 171.2079 | 182.6882 | Medium | 46.9 | Fair | CONFIRMED
ASML | pullback | 1763.76 | 1705.0064 | 1851.8904 | Medium | 46.9 | Fair | CONFIRMED
MUV2.DE | consolidation | 519.6 | 510.3714 | 533.4429 | Medium | 46.9 | Fair | CONFIRMED
T | consolidation | 25.29 | 24.7757 | 26.0614 | Medium | 46.8 | Fair | CONFIRMED
LTMC.MI | consolidation | 24.49 | 23.9829 | 25.2506 | Medium | 46.7 | Fair | CONFIRMED
DD | pullback | 138.33 | 134.0314 | 144.7779 | Medium | 46.6 | Fair | CONFIRMED
BAS.DE | consolidation | 51.95 | 51.0971 | 53.2294 | Medium | 46.5 | Fair | CONFIRMED
FAST | pullback | 51.26 | 50.1621 | 52.9068 | Medium | 46.2 | Fair | CONFIRMED
RMD | consolidation | 231.52 | 223.7039 | 243.2442 | Medium | 46.2 | Fair | CONFIRMED
TT | pullback | 453.43 | 442.1707 | 470.3189 | Medium | 46.2 | Fair | CONFIRMED
VRTX | consolidation | 548.05 | 530.2379 | 574.7681 | Medium | 46.2 | Fair | CONFIRMED
PH | pullback | 1001.74 | 974.6579 | 1042.3631 | Medium | 46.1 | Fair | CONFIRMED
BR | consolidation | 182.18 | 175.6157 | 192.0265 | Medium | 46.0 | Fair | CONFIRMED
AVY | consolidation | 183.71 | 178.7929 | 191.0857 | Medium | 45.9 | Fair | CONFIRMED
TGT | breakout | 165.44 | 160.5968 | 172.7048 | High | 45.7 | Fair | CONFIRMED
LH | consolidation | 336.34 | 329.1486 | 347.1271 | Medium | 45.7 | Fair | CONFIRMED
III.L | consolidation | 2920.0 | 2850.2151 | 3024.6773 | Medium | 45.5 | Fair | CONFIRMED
GE | pullback | 348.37 | 338.7893 | 362.741 | Medium | 45.3 | Fair | CONFIRMED
ICE | consolidation | 161.25 | 157.8914 | 166.2879 | Medium | 45.3 | Fair | CONFIRMED
MTX.DE | pullback | 353.2 | 344.6429 | 366.0356 | Medium | 45.3 | Fair | CONFIRMED
FCX | breakout | 76.66 | 73.7443 | 81.0335 | High | 45.2 | Fair | CONFIRMED
DG | consolidation | 123.41 | 119.9107 | 128.6589 | Medium | 45.0 | Fair | CONFIRMED
IG.MI | consolidation | 8.788 | 8.6483 | 8.9976 | Medium | 45.0 | Fair | CONFIRMED
BP.L | consolidation | 547.0 | 535.2785 | 564.5822 | Medium | 44.9 | Fair | CONFIRMED
RWE.DE | pullback | 56.98 | 55.5671 | 59.0993 | Medium | 44.9 | Fair | CONFIRMED
